date,open,high,low,close,volume
2025-04-08,124.14,125.34,123.61,124.60,1259566
2025-04-09,123.86,127.86,122.84,127.45,1359549
2025-04-10,127.39,130.19,126.95,129.49,2158560
2025-04-11,130.39,131.86,129.68,131.35,1408389
2025-04-14,131.01,131.17,130.75,130.98,1339273
2025-04-15,130.84,131.36,129.08,129.57,2095805
2025-04-16,129.43,129.91,126.55,126.61,1309910
2025-04-17,126.85,129.18,126.05,128.83,1987221
2025-04-18,128.51,128.88,127.51,128.39,1363360
2025-04-21,128.58,128.87,127.02,127.97,1748245
2025-04-22,127.66,130.21,126.69,129.84,800568
2025-04-23,130.24,130.27,129.00,129.24,1450983
2025-04-24,129.34,129.65,127.27,127.92,1914434
2025-04-25,128.06,128.16,127.60,128.13,1269263
2025-04-28,127.54,129.61,127.28,129.22,1078781
2025-04-29,129.26,130.64,128.63,130.40,901959
2025-04-30,130.69,131.42,126.97,128.04,1492128
2025-05-01,128.60,129.76,127.45,127.98,1878064
2025-05-02,128.23,130.26,126.86,129.31,1525140
2025-05-05,129.40,131.23,129.23,130.46,1921983
2025-05-06,129.45,129.71,127.59,127.61,2047996
2025-05-07,127.22,127.43,124.82,125.30,1567020
2025-05-08,124.92,127.67,124.38,127.46,1146135
2025-05-09,126.96,126.98,124.90,125.33,1184436
2025-05-12,125.48,126.91,124.65,126.45,1556213
2025-05-13,126.66,127.43,126.61,127.13,889920
2025-05-14,127.39,127.68,124.49,125.12,1388200
2025-05-15,124.84,127.14,124.64,126.88,1871832
2025-05-16,126.91,127.04,125.57,126.59,1994827
2025-05-19,126.48,128.71,126.45,128.21,1644553
2025-05-20,128.47,128.90,127.74,128.29,1270581
2025-05-21,127.93,128.66,126.47,127.34,978678
2025-05-22,127.28,127.40,126.08,126.89,837942
2025-05-23,126.73,127.12,125.61,126.14,1330745
2025-05-26,126.47,127.00,126.23,126.36,1852813
2025-05-27,126.11,127.45,125.57,126.88,1555186
2025-05-28,126.88,128.49,126.85,128.37,1712456
2025-05-29,127.43,129.16,126.85,128.62,1013335
2025-05-30,129.03,130.90,128.62,130.63,1779250
2025-06-02,130.39,130.89,130.27,130.88,960346
2025-06-03,129.95,133.61,129.38,133.00,1236740
2025-06-04,132.10,132.13,130.17,131.07,906395
2025-06-05,130.56,131.62,129.34,130.26,1990410
2025-06-06,130.14,131.34,129.19,129.64,1286085
2025-06-09,129.81,129.97,127.70,128.20,1989405
2025-06-10,128.04,129.75,127.66,128.70,1960190
2025-06-11,128.30,128.73,127.82,128.32,1178115
2025-06-12,127.87,129.35,127.32,129.25,1823436
2025-06-13,130.00,130.60,128.60,128.97,2034283
2025-06-16,129.40,129.63,128.90,129.17,840179
2025-06-17,128.98,130.67,127.79,129.98,1276474
2025-06-18,129.57,132.70,128.99,132.18,2127287
2025-06-19,132.50,134.99,131.92,134.85,1766853
2025-06-20,134.47,135.06,133.28,133.65,1110234
2025-06-23,133.33,133.46,132.90,133.21,1543290
2025-06-24,133.51,133.74,129.53,130.59,1179282
2025-06-25,130.78,131.38,130.00,130.71,1550209
2025-06-26,130.46,131.55,129.50,130.93,1814419
2025-06-27,130.86,133.77,130.16,133.27,1071764
2025-06-30,133.52,134.60,132.94,133.57,1184035
2025-07-01,133.49,136.52,133.15,136.05,2015845
2025-07-02,136.09,136.23,131.99,132.32,1416656
2025-07-03,132.44,133.65,132.07,132.69,1950961
2025-07-04,132.79,133.23,131.80,132.24,1008876
2025-07-07,132.11,132.83,130.40,130.91,1870220
2025-07-08,130.48,131.08,127.52,128.50,1430720
2025-07-09,128.77,129.61,124.81,125.29,1669438
2025-07-10,124.90,125.64,122.78,123.19,1095435
2025-07-11,123.01,123.57,122.16,122.78,803746
2025-07-14,122.93,123.35,119.97,120.70,1789738
2025-07-15,120.32,120.49,120.01,120.28,1902959
2025-07-16,119.91,120.73,118.33,118.65,1562387
2025-07-17,118.03,118.56,116.24,116.59,1032291
2025-07-18,117.13,117.34,115.40,115.75,974095
2025-07-21,115.25,116.09,114.60,114.92,1491313
2025-07-22,114.97,115.62,114.38,115.43,1150515
2025-07-23,115.91,119.74,115.84,119.02,2131100
2025-07-24,119.02,122.10,118.44,121.63,1858776
2025-07-25,121.72,122.41,118.96,119.32,1619461
2025-07-28,119.01,119.76,117.50,118.15,1266631
2025-07-29,117.54,117.75,115.76,116.70,1203504
2025-07-30,116.48,119.74,116.13,119.63,1240324
2025-07-31,120.49,120.61,117.07,117.78,2183366
2025-08-01,117.41,117.69,116.18,116.77,1306491
2025-08-04,116.28,117.46,116.05,116.98,1568907
2025-08-05,116.81,119.09,116.51,118.67,2162405
2025-08-06,118.51,119.23,116.99,117.84,1573151
2025-08-07,118.45,123.08,118.18,122.24,964452
2025-08-08,121.87,123.76,121.81,123.36,1182794
2025-08-11,122.47,126.46,121.51,125.94,1337020
2025-08-12,125.73,128.99,125.71,127.92,1186746
2025-08-13,127.53,129.44,127.20,128.51,1948769
2025-08-14,128.82,129.53,128.10,128.32,1485496
2025-08-15,128.71,130.02,127.79,129.78,1560802
2025-08-18,129.88,130.62,127.31,128.37,1600516
2025-08-19,129.04,130.17,128.13,128.82,1787319
2025-08-20,128.47,129.77,128.37,129.62,2173145
2025-08-21,129.62,129.62,128.74,129.25,2017580
2025-08-22,128.96,130.85,128.51,130.75,1811421
2025-08-25,131.06,131.83,127.76,128.63,2156885
2025-08-26,129.13,129.20,127.20,127.30,1993277
2025-08-27,127.01,128.79,125.95,128.53,1863162
2025-08-28,128.45,130.01,127.71,129.00,2089300
2025-08-29,128.99,132.48,128.40,132.12,1687246
2025-09-01,131.81,133.88,131.54,133.65,864387
2025-09-02,133.33,134.60,132.63,134.22,1543632
2025-09-03,133.94,134.55,130.64,131.31,2019175
2025-09-04,131.11,131.82,130.03,130.44,1445609
2025-09-05,130.74,131.97,129.97,130.54,2061693
2025-09-08,130.33,130.52,129.55,130.20,1622600
2025-09-09,129.88,130.40,127.83,129.10,1078903
2025-09-10,129.39,129.95,126.66,127.67,1604736
