date,close,sma_10,delta_sma,rsi_14,requested_action,executed_action,quantity,fee,cash_before,cash_after,holdings_before,holdings_after,portfolio_value,reward,rejected_reason,action_name,explanation,matched_rules
2025-07-17,116.59,123.91300000000001,-0.05909791547295285,13.707571801566601,0,0,0,0.0,4445.57112,4445.57112,42,42,9342.35112,-86.52000000000044,,Hold,The Q-learning agent selected Hold at $116.59. No simulated trade was executed at this step.,"['SMA_BELOW_THRESHOLD', 'RSI_OVERSOLD', 'NO_TRADE']"
2025-07-18,115.75,122.26400000000001,-0.0532781521952497,12.117346938775583,0,0,0,0.0,4445.57112,4445.57112,42,42,9307.07112,-35.279999999998836,,Hold,The Q-learning agent selected Hold at $115.75. No simulated trade was executed at this step.,"['SMA_BELOW_THRESHOLD', 'RSI_OVERSOLD', 'NO_TRADE']"
2025-07-21,114.92,120.665,-0.047611154850205145,1.6918152720622004,0,0,0,0.0,4445.57112,4445.57112,42,42,9272.21112,-34.86000000000058,,Hold,The Q-learning agent selected Hold at $114.92. No simulated trade was executed at this step.,"['SMA_BELOW_THRESHOLD', 'RSI_OVERSOLD', 'NO_TRADE']"
2025-07-22,115.43,119.35799999999999,-0.03290939861592841,4.718498659517479,0,0,0,0.0,4445.57112,4445.57112,42,42,9293.63112,21.420000000000073,,Hold,The Q-learning agent selected Hold at $115.43. No simulated trade was executed at this step.,"['SMA_BELOW_THRESHOLD', 'RSI_OVERSOLD', 'NO_TRADE']"
2025-07-23,119.02,118.731,0.0024340736623122985,18.7471422039323,0,0,0,0.0,4445.57112,4445.57112,42,42,9444.41112,150.78000000000065,,Hold,The Q-learning agent selected Hold at $119.02. No simulated trade was executed at this step.,"['RSI_OVERSOLD', 'NO_TRADE']"
2025-07-24,121.63,118.575,0.025764284208306915,27.923429047024527,0,0,0,0.0,4445.57112,4445.57112,42,42,9554.03112,109.61999999999898,,Hold,The Q-learning agent selected Hold at $121.63. No simulated trade was executed at this step.,"['RSI_OVERSOLD', 'SMA_ABOVE_THRESHOLD', 'NO_TRADE']"
2025-07-25,119.32,118.229,0.009227854418120714,26.82926829268291,0,0,0,0.0,4445.57112,4445.57112,42,42,9457.01112,-97.02000000000044,,Hold,The Q-learning agent selected Hold at $119.32. No simulated trade was executed at this step.,"['RSI_OVERSOLD', 'NO_TRADE']"
2025-07-28,118.15,117.974,0.0014918541373523143,28.22885990744635,0,0,0,0.0,4445.57112,4445.57112,42,42,9407.87112,-49.13999999999942,,Hold,The Q-learning agent selected Hold at $118.15. No simulated trade was executed at this step.,"['RSI_OVERSOLD', 'NO_TRADE']"
2025-07-29,116.7,117.61600000000001,-0.007788056046796447,30.486142662426147,0,0,0,0.0,4445.57112,4445.57112,42,42,9346.97112,-60.899999999999636,,Hold,The Q-learning agent selected Hold at $116.70. No simulated trade was executed at this step.,"['RSI_OVERSOLD', 'NO_TRADE']"
2025-07-30,119.63,117.71400000000001,0.016276738535772994,42.206654991243425,1,1,9,1.07667,4445.57112,3367.8244499999996,42,51,9468.95445,121.98332999999911,,Buy,The Q-learning agent selected Buy at $119.63. I label the indicators as context rather than claiming they caused the learned decision.,[]
2025-07-31,117.78,117.833,-0.00044978910831428606,39.70345963756177,0,0,0,0.0,3367.8244499999996,3367.8244499999996,51,51,9374.604449999999,-94.35000000000036,,Hold,The Q-learning agent selected Hold at $117.78. No simulated trade was executed at this step.,"['RSI_OVERSOLD', 'NO_TRADE']"
2025-08-01,116.77,117.93499999999999,-0.009878322804934855,41.53382162860834,1,1,7,0.81739,3367.8244499999996,2549.6170599999996,51,58,9322.27706,-52.32738999999856,,Buy,The Q-learning agent selected Buy at $116.77. I label the indicators as context rather than claiming they caused the learned decision.,[]
2025-08-04,116.98,118.141,-0.009827240331468342,42.82608695652174,1,1,5,0.5849,2549.6170599999996,1964.1321599999997,58,63,9333.87216,11.595100000000457,,Buy,The Q-learning agent selected Buy at $116.98. I label the indicators as context rather than claiming they caused the learned decision.,[]
2025-08-05,118.67,118.465,0.0017304689148693563,50.04336513443191,1,1,4,0.47468,1964.1321599999997,1488.9774799999996,63,67,9439.86748,105.99531999999999,,Buy,The Q-learning agent selected Buy at $118.67. I label the indicators as context rather than claiming they caused the learned decision.,[]
2025-08-06,117.84,118.34700000000001,-0.004284012269005593,52.86303252404947,1,1,3,0.35352,1488.9774799999996,1135.1039599999995,67,70,9383.90396,-55.963520000001154,,Buy,The Q-learning agent selected Buy at $117.84. I label the indicators as context rather than claiming they caused the learned decision.,[]
2025-08-07,122.24,118.40799999999999,0.03236267819741916,62.78062229224105,1,1,2,0.24448,1135.1039599999995,890.3794799999995,70,72,9691.659479999998,307.7555199999988,,Buy,"The Q-learning agent selected Buy at $122.24. Supporting context: price is 3.2% above its 10-day SMA; RSI is 62.8, above 62.","['SMA_ABOVE_THRESHOLD', 'RSI_OVERBOUGHT']"
2025-08-08,123.36,118.81199999999998,0.03827896172103842,66.43302180685359,1,1,1,0.12336,890.3794799999995,766.8961199999994,72,73,9772.17612,80.51664000000164,,Buy,"The Q-learning agent selected Buy at $123.36. Supporting context: price is 3.8% above its 10-day SMA; RSI is 66.4, above 62.","['SMA_ABOVE_THRESHOLD', 'RSI_OVERBOUGHT']"
2025-08-11,125.94,119.59100000000001,0.05308927929359224,68.93693693693695,1,1,1,0.12594,766.8961199999994,640.8301799999995,73,74,9960.390179999999,188.21405999999843,,Buy,"The Q-learning agent selected Buy at $125.94. Supporting context: price is 5.3% above its 10-day SMA; RSI is 68.9, above 62.","['SMA_ABOVE_THRESHOLD', 'RSI_OVERBOUGHT']"
2025-08-12,127.92,120.71300000000001,0.05970359447615413,67.0237184391737,1,1,1,0.12792,640.8301799999995,512.7822599999995,74,75,10106.78226,146.39208000000144,,Buy,"The Q-learning agent selected Buy at $127.92. Supporting context: price is 6.0% above its 10-day SMA; RSI is 67.0, above 62.","['SMA_ABOVE_THRESHOLD', 'RSI_OVERBOUGHT']"
2025-08-13,128.51,121.601,0.05681696696573212,64.2620232172471,1,1,1,0.12850999999999999,512.7822599999995,384.1437499999995,75,76,10150.903749999998,44.12148999999772,,Buy,"The Q-learning agent selected Buy at $128.51. Supporting context: price is 5.7% above its 10-day SMA; RSI is 64.3, above 62.","['SMA_ABOVE_THRESHOLD', 'RSI_OVERBOUGHT']"
2025-08-14,128.32,122.655,0.046186457951163766,70.45454545454548,1,1,1,0.12832,384.1437499999995,255.6954299999995,76,77,10136.33543,-14.568319999998494,,Buy,"The Q-learning agent selected Buy at $128.32. Supporting context: price is 4.6% above its 10-day SMA; RSI is 70.5, above 62.","['SMA_ABOVE_THRESHOLD', 'RSI_OVERBOUGHT']"
2025-08-15,129.78,123.95599999999999,0.04698441382426032,76.08793180798564,1,1,1,0.12978,255.6954299999995,125.78564999999949,77,78,10248.62565,112.29022000000077,,Buy,"The Q-learning agent selected Buy at $129.78. Supporting context: price is 4.7% above its 10-day SMA; RSI is 76.1, above 62.","['SMA_ABOVE_THRESHOLD', 'RSI_OVERBOUGHT']"
2025-08-18,128.37,125.095,0.026180103121627607,76.22471910112361,1,0,0,0.0,125.78564999999949,125.78564999999949,78,78,10138.64565,-109.97999999999956,Insufficient cash,Hold,"I converted the requested action to Hold because insufficient cash. The simulated portfolio remains $10,138.65.","['SMA_ABOVE_THRESHOLD', 'RSI_OVERBOUGHT', 'ACTION_REJECTED']"
2025-08-19,128.82,126.10999999999999,0.021489176116089193,73.24228629236218,1,0,0,0.0,125.78564999999949,125.78564999999949,78,78,10173.745649999999,35.099999999998545,Insufficient cash,Hold,"I converted the requested action to Hold because insufficient cash. The simulated portfolio remains $10,173.75.","['SMA_ABOVE_THRESHOLD', 'RSI_OVERBOUGHT', 'ACTION_REJECTED']"
2025-08-20,129.62,127.28799999999998,0.01832065866381766,81.62393162393164,1,0,0,0.0,125.78564999999949,125.78564999999949,78,78,10236.14565,62.400000000001455,Insufficient cash,Hold,"I converted the requested action to Hold because insufficient cash. The simulated portfolio remains $10,236.15.","['SMA_ABOVE_THRESHOLD', 'RSI_OVERBOUGHT', 'ACTION_REJECTED']"
2025-08-21,129.25,127.98899999999999,0.009852409191414965,84.5132743362832,1,0,0,0.0,125.78564999999949,125.78564999999949,78,78,10207.28565,-28.860000000000582,Insufficient cash,Hold,"I converted the requested action to Hold because insufficient cash. The simulated portfolio remains $10,207.29.","['RSI_OVERBOUGHT', 'ACTION_REJECTED']"
2025-08-22,130.75,128.728,0.015707538375489334,85.5446566855963,1,0,0,0.0,125.78564999999949,125.78564999999949,78,78,10324.28565,117.0,Insufficient cash,Hold,"I converted the requested action to Hold because insufficient cash. The simulated portfolio remains $10,324.29.","['RSI_OVERBOUGHT', 'ACTION_REJECTED']"
2025-08-25,128.63,128.997,-0.0028450274037382156,75.15151515151514,1,0,0,0.0,125.78564999999949,125.78564999999949,78,78,10158.92565,-165.36000000000058,Insufficient cash,Hold,"I converted the requested action to Hold because insufficient cash. The simulated portfolio remains $10,158.93.","['RSI_OVERBOUGHT', 'ACTION_REJECTED']"
2025-08-26,127.3,128.935,-0.012680808159149999,73.30049261083742,1,0,0,0.0,125.78564999999949,125.78564999999949,78,78,10055.18565,-103.73999999999978,Insufficient cash,Hold,"I converted the requested action to Hold because insufficient cash. The simulated portfolio remains $10,055.19.","['RSI_OVERBOUGHT', 'ACTION_REJECTED']"
2025-08-27,128.53,128.93699999999998,-0.003156580345439884,68.35960303561005,1,0,0,0.0,125.78564999999949,125.78564999999949,78,78,10151.12565,95.94000000000051,Insufficient cash,Hold,"I converted the requested action to Hold because insufficient cash. The simulated portfolio remains $10,151.13.","['RSI_OVERBOUGHT', 'ACTION_REJECTED']"
2025-08-28,129.0,129.005,-3.8758187667109436e-05,67.11165048543688,1,0,0,0.0,125.78564999999949,125.78564999999949,78,78,10187.78565,36.659999999999854,Insufficient cash,Hold,"I converted the requested action to Hold because insufficient cash. The simulated portfolio remains $10,187.79.","['RSI_OVERBOUGHT', 'ACTION_REJECTED']"
2025-08-29,132.12,129.239,0.02229203259078142,68.15511163337251,1,0,0,0.0,125.78564999999949,125.78564999999949,78,78,10431.14565,243.36000000000058,Insufficient cash,Hold,"I converted the requested action to Hold because insufficient cash. The simulated portfolio remains $10,431.15.","['SMA_ABOVE_THRESHOLD', 'RSI_OVERBOUGHT', 'ACTION_REJECTED']"
2025-09-01,133.65,129.767,0.029922861744511392,67.29028364514183,1,0,0,0.0,125.78564999999949,125.78564999999949,78,78,10550.48565,119.34000000000015,Insufficient cash,Hold,"I converted the requested action to Hold because insufficient cash. The simulated portfolio remains $10,550.49.","['SMA_ABOVE_THRESHOLD', 'RSI_OVERBOUGHT', 'ACTION_REJECTED']"
2025-09-02,134.22,130.307,0.03002908516042892,67.25075528700907,1,0,0,0.0,125.78564999999949,125.78564999999949,78,78,10594.94565,44.45999999999913,Insufficient cash,Hold,"I converted the requested action to Hold because insufficient cash. The simulated portfolio remains $10,594.95.","['SMA_ABOVE_THRESHOLD', 'RSI_OVERBOUGHT', 'ACTION_REJECTED']"
2025-09-03,131.31,130.476,0.006391980134277593,57.75817332641413,1,0,0,0.0,125.78564999999949,125.78564999999949,78,78,10367.96565,-226.97999999999956,Insufficient cash,Hold,"I converted the requested action to Hold because insufficient cash. The simulated portfolio remains $10,367.97.",['ACTION_REJECTED']
2025-09-04,130.44,130.595,-0.0011868754546498805,51.76659528907923,1,0,0,0.0,125.78564999999949,125.78564999999949,78,78,10300.10565,-67.86000000000058,Insufficient cash,Hold,"I converted the requested action to Hold because insufficient cash. The simulated portfolio remains $10,300.11.",['ACTION_REJECTED']
2025-09-05,130.54,130.574,-0.0002603887450795735,56.24640184225673,1,0,0,0.0,125.78564999999949,125.78564999999949,78,78,10307.905649999999,7.799999999999272,Insufficient cash,Hold,"I converted the requested action to Hold because insufficient cash. The simulated portfolio remains $10,307.91.",['ACTION_REJECTED']
2025-09-08,130.2,130.731,-0.004061775707368612,53.99768250289685,1,0,0,0.0,125.78564999999949,125.78564999999949,78,78,10281.385649999998,-26.520000000000437,Insufficient cash,Hold,"I converted the requested action to Hold because insufficient cash. The simulated portfolio remains $10,281.39.",['ACTION_REJECTED']
2025-09-09,129.1,130.911,-0.013833826034481495,48.51936218678813,1,0,0,0.0,125.78564999999949,125.78564999999949,78,78,10195.585649999999,-85.79999999999927,Insufficient cash,Hold,"I converted the requested action to Hold because insufficient cash. The simulated portfolio remains $10,195.59.",['ACTION_REJECTED']
2025-09-10,127.67,130.825,-0.024116185744314827,45.75725026852847,0,0,0,0.0,125.78564999999949,125.78564999999949,78,78,10084.04565,-111.53999999999905,,Hold,The Q-learning agent selected Hold at $127.67. No simulated trade was executed at this step.,"['SMA_BELOW_THRESHOLD', 'NO_TRADE']"
